Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,49.53,11.16,80.00,80.00
0.88,0.00,0.00,49.53,11.12,80.00,80.00
1.60,0.00,0.00,49.86,10.90,80.00,80.00
2.42,0.00,0.00,50.27,10.39,80.00,80.00
3.55,0.00,0.00,51.46,9.49,80.00,80.00
4.31,0.00,0.00,52.23,8.66,80.00,80.00
5.15,0.00,0.00,53.42,7.60,80.00,80.00
5.87,0.00,0.00,54.01,6.50,80.00,80.00
6.77,0.00,0.00,55.09,4.72,80.00,80.00
7.76,0.00,0.00,56.23,1.89,80.00,80.00
8.58,0.00,0.00,57.30,-0.81,80.00,80.00
9.39,0.00,0.00,58.29,-1.49,80.00,80.00
10.15,0.00,0.00,58.84,-2.83,80.00,80.00
11.26,0.00,0.00,59.94,-4.72,80.00,80.00
12.26,0.00,0.00,61.17,-5.76,80.00,80.00
12.98,0.00,0.00,62.49,-6.55,80.00,80.00
13.97,0.00,0.00,63.90,-7.67,80.00,80.00
14.89,0.00,0.00,65.50,-8.99,80.00,80.00
15.67,0.00,0.00,66.58,-10.48,80.00,80.00
16.52,0.00,0.00,68.14,-12.46,80.00,80.00
17.73,0.00,0.00,70.00,-15.40,80.00,80.00
18.45,0.00,0.00,71.26,-17.20,80.00,80.00
19.34,0.00,0.00,72.82,-19.27,80.00,80.00
20.52,0.00,0.00,75.50,-21.97,80.00,80.00
21.24,0.00,0.00,77.23,-23.75,80.00,80.00
22.10,0.00,0.00,79.89,-26.13,80.00,80.00
23.32,0.00,0.00,83.52,-29.84,80.00,80.00
24.05,0.00,0.00,85.87,-32.01,80.00,80.00
24.86,0.00,0.00,88.00,-34.63,80.00,80.00
26.08,0.00,0.00,91.23,-38.41,80.00,80.00
26.81,0.00,0.00,93.23,-40.76,80.00,80.00
27.73,0.00,0.00,96.20,-43.73,80.00,80.00
28.45,0.00,0.00,98.75,-46.14,80.00,80.00
29.61,0.00,0.00,102.96,-50.14,80.00,80.00
30.51,0.00,0.00,106.06,-53.48,80.00,80.00
31.23,0.00,0.00,108.44,-56.16,80.00,80.00
32.37,0.00,0.00,112.41,-60.29,80.00,80.00
33.46,0.00,0.00,116.52,-64.36,80.00,80.00
34.34,0.00,0.00,120.04,-67.65,80.00,80.00
35.32,0.00,0.00,124.26,-71.70,80.00,80.00
36.04,0.00,0.00,127.51,-74.93,80.00,80.00
37.29,0.00,0.00,132.82,-80.53,80.00,80.00
38.06,0.00,0.00,136.12,-83.96,80.00,80.00
39.01,0.00,0.00,140.36,-88.29,80.00,80.00
40.15,0.00,0.00,145.44,-93.14,80.00,80.00
40.87,0.00,0.00,148.71,-96.39,80.00,80.00
41.83,0.00,0.00,153.28,-100.90,80.00,80.00
42.97,0.00,0.00,158.73,-106.52,80.00,80.00
43.74,0.00,0.00,162.64,-110.39,80.00,80.00
44.67,0.00,0.00,167.34,-115.09,80.00,80.00
45.84,0.00,0.00,173.41,-121.03,80.00,80.00
46.56,0.00,0.00,176.90,-124.87,80.00,80.00
47.57,0.00,0.00,182.31,-130.34,80.00,80.00
48.63,0.00,0.00,188.35,-136.12,80.00,80.00
49.45,0.00,0.00,193.25,-140.65,80.00,80.00
50.62,0.00,0.00,200.02,-147.48,80.00,80.00
51.59,0.00,0.00,205.75,-153.19,80.00,80.00
52.32,0.00,0.00,210.12,-157.57,80.00,80.00
53.51,0.00,0.00,217.13,-164.44,80.00,80.00
54.38,0.00,0.00,222.19,-169.63,80.00,80.00
55.63,0.00,0.00,230.01,-177.25,80.00,80.00
56.35,0.00,0.00,234.29,-181.71,80.00,80.00
57.25,0.00,0.00,240.29,-187.36,80.00,80.00
58.46,0.00,0.00,247.90,-195.23,80.00,80.00
59.19,0.00,0.00,252.82,-200.02,80.00,80.00
60.13,0.00,0.00,259.01,-206.24,80.00,80.00
61.31,0.00,0.00,266.92,-214.08,80.00,80.00
62.03,0.00,0.00,271.67,-219.13,80.00,80.00
63.04,0.00,0.00,278.85,-226.05,80.00,80.00
64.10,0.00,0.00,286.46,-233.53,80.00,80.00
64.92,0.00,0.00,292.39,-239.28,80.00,80.00
66.09,0.00,0.00,300.85,-247.52,80.00,80.00
67.06,0.00,0.00,307.86,-254.40,80.00,80.00
67.78,0.00,0.00,313.20,-259.69,80.00,80.00
68.97,0.00,0.00,322.05,-268.62,80.00,80.00
